iops,latency,ground_truth
1731,158,0
567,175,0
1826,173,0
701,180,0
622,202,0
651,184,0
662,174,0
725,183,0
1342,180,0
907,173,0
748,203,0
839,180,0
1006,177,0
725,178,0
1119,175,0
1402,175,0
706,208,0
659,221,0
869,221,0
570,194,0
1098,175,0
762,182,0
578,188,0
548,424,1
745,188,0
679,193,0
1269,191,0
803,171,0
626,181,0
635,184,0
722,176,0
663,177,0
1868,174,0
899,165,0
599,185,0
501,188,0
759,200,0
784,196,0
1214,193,0
871,182,0
797,198,0
603,197,0
754,201,0
644,192,0
1464,183,0
1342,161,0
888,175,0
753,203,0
893,176,0
719,201,0
1118,209,0
638,189,0
574,171,0
581,182,0
710,184,0
707,187,0
1308,201,0
972,174,0
681,188,0
639,171,0
809,169,0
564,188,0
1346,176,0
640,181,0
661,183,0
591,186,0
686,187,0
630,182,0
1416,180,0
1044,175,0
947,177,0
955,219,0
844,197,0
825,222,0
865,175,0
1165,163,0
1097,181,0
658,167,0
719,188,0
905,187,0
753,249,0
705,205,0
638,203,0
634,176,0
579,184,0
831,176,0
743,182,0
619,203,0
792,186,0
546,172,0
629,170,0
921,165,0
1290,173,0
683,177,0
693,177,0
606,182,0
642,181,0
1119,170,0
657,171,0
783,180,0
770,169,0
617,176,0
800,171,0
892,174,0
679,185,0
1201,173,0
1103,178,0
665,183,0
551,188,0
856,176,0
707,193,0
664,181,0
727,181,0
593,178,0
623,184,0
993,178,0
796,183,0
547,185,0
929,188,0
1614,190,0
574,208,0
792,193,0
1193,176,0
470,189,0
645,187,0
503,179,0
502,182,0
1033,178,0
1088,184,0
797,184,0
960,194,0
1057,492,1
907,217,0
941,181,0
864,175,0
1177,182,0
1147,176,0
1418,164,0
816,187,0
1138,199,0
1086,182,0
754,188,0
788,185,0
699,182,0
620,183,0
966,182,0
920,311,0
738,182,0
638,179,0
767,184,0
654,200,0
879,193,0
924,191,0
613,174,0
510,193,0
675,179,0
677,198,0
955,195,0
827,193,0
652,193,0
750,221,0
743,208,0
813,185,0
1092,197,0
710,177,0
1034,159,0
661,201,0
980,202,0
